id,title,content,tags
60,Is it possible to both move and stabilize a two wheeled robot with no gyroscopes?,"With two wheeled robot like this one, I have managed to stabilize it while keeping it stationary. This was done using a digital feedback control system by reading the position of the wheels to determine position, and the natural back electromotive force from the wheel motors was used in the feedback loop to determine velocity. It was kept stable with a PID controller, which was designed using a root locus algorithm to keep it stable and modulate the performance parameters (such as percent overshoot, settling time, etc.). I wanted to attempt to keep it stable while simultaneously propelling it forward, but I couldn't figure out how to go about designing a linear controller that could do that. Is it possible to both propel the robot forward and keep it stable using a feedback controller on the wheels, or is a gyroscope necessary?
",two-wheeled stability
65,Calculating the efficiency of Mecanum wheels,"I'm part of a FIRST Robotics team, and we're looking into using Mecanum wheels for our robot.
What are the advantages and disadvantages of using Mecanum wheel versus regular ones? From looking through Google, it looks like Mecanum wheels give more mobility but don't have as much traction. Are there any other advantages or disadvantages?
Compared to regular wheels, are Mecanum wheels less efficient or more efficient in any way? And if so, is there a quantifiable way to determine by how much?
Are there equations I can use to calculate efficiency (or inefficiency) and/or speed of moving forwards, sideways, or at arbitrary angles?
A picture of a robot with mecanum wheels:

",mobile-robot design movement wheel first-robotics
75,Using an Arduino to control an ON / OFF connection between two pins,"I've got this driver: 
... a A4988 stepper motor driver carrier

I'm attempting to control a connection between the RESET and SLEEP pins with logic ( code ) running on my Arduino. The motor runs perfectly when these two pins are connected however I'd like to control when the stepper is powered off from my Arduino ( and thus not generating extra heat )
I'd like to:

designate a pin to control the connection between these two pins
use a ""digitalWrite"" to the above pin with a HIGH or LOW to
switch power on and off from the stepper

NOTE: The data sheet mentioned that for the driver to be powering the stepper both RESET and SLEEP needed to be in switched on ( HIGH )
",arduino logic-control stepper-motor stepper-driver
85,Shape Memory Alloy wire for robot gripper arm actuation: How to vary grip pressure?,"For a robotic gripper arm we are designing for factory floor use on very small components, we propose to use electrically activated Shape Memory Alloy (SMA) wire harnesses for actuation. 
The device being designed is akin to Pick & Place machines used for circuit assembly, but moves over an aircraft-hanger sized work surface on wheels. It manipulates irregular shaped and porous objects between 0.5 cu.cm and 8 cu.cm each - hence the traditional vacuum P&P mechanism does not appeal. Also, individual objects in the assembly line have varying hardness and weights.
Our design constraints are: 

Ensuring minimal to zero vibration and sound 
Using minimal volume within the mechanism (batteries are at the wheelbase, providing stability, so their weight is not a concern)
Fine variation of gripper pressure

We believe SMA meets the first two constraints well, but need some guidance on achieving constraint 3, i.e. different levels of pressure of the gripper controlled electronically.
My questions:

Can PWM of a current above the activation threshold (320 mA for 0.005 inch Flexinol HT) provide variable, repeatable actuation force? 
Would we need pressure sensors on each fingertip and a closed loop control for grip, or can the gripper be calibrated periodically and maintain repeatable force?
Is there any well-documented precedent or study we should be referring to?

",mobile-robot
88,Mechanical design for motorized spherical caster wheels,"Design goal is to have a mobile robot that operates on 3 large casters, essentially 2 to 4 inch diameter steel ball bearings, that are motorized. No other mechanism would touch the surface. The robot should thus be able to move in any XY direction on a flat surface, with steering being achieved by varying the speed and rolling direction of these wheels. The robot has no designated ""front"" side, so it does not need to (and should not have to) bodily turn, in order to move off in any given direction. 
Conventional wheels or tracks are not the preferred approach. 
Looking for suggested mechanical layouts of multiple rubber wheels, pressing down onto the steel ball from within the castor housing, to drive the ball in any direction. A single wheel on a stepper, rotated around the vertical axis using a sail-winch servo, is one approach under consideration. Would this be ideal, or are there any serious flaws in this approach?
Alternatively, is there any other suggested method of driving such a steel ball in any arbitrary direction under electronic control?
",servos mobile-robot stepper-motor
91,What determines the amount of noise an actuator produces?,"Many robots and other mechanical devices produce the signature whirring noise as they move, some produce less. What makes the difference? What restrictions a silence requirement places on a robot?
",motor actuator noise
93,What BLDC servo drive takes sinusoidal hall sensor signals?,"I am looking for a servo drive to control a brushless DC motor, with at least 10A, 30V rating. However, I want to know if any exist which take sinusoidal hall sensor signals directly.
I already know there are servo drives taking hall sensor pulses (with 6 different phases), but that is trapezoidal control.
Note: a servo drive includes the driving electronics (no additional transistors required).
",brushless-motor hall-sensor
94,"Developing for 8-bit AVR-s, what are the current, open and free libraries out there?","I would be very interested to ask for a list of repos of free open code, applicable to 8-bit avr-s and having relation to robotics - object avoidance, process controllers, battery management, etc. This would be of huge help for me, preventing me from wasting weeks and months to invent the wheel.
",software microcontroller
99,How to manage interrupts on an AVR?,"I have a number of interrupt service routines on an AVR. These include interrupts for USART serial communication, timers, and SPI communication.
For all of these, I use circular queues (using a start and end pointer, without boundary checking).
Some problems start to occur if the AVR starts to get overloaded. The circular queues will lose chunks of data. To solve this, I can reduce the load on the AVR (for example, by skipping some cycles in the timer). However, this is a manual process, where it is reduced if the AVR appears to have problems. This is partly because I do want relatively consistent timer periods.
However, even at 70% average processor load, the queues can fill up randomly by chance.
In case of spurious overloading at times, how can I make this more adaptive to avoid queue overflows?
",microcontroller avr interrupts
100,What connectors are most reliable?,"If you have used connectors for signal wiring for any length of time, you may find that they are unreliable.
Specifically, I find these to be unreliable when used for a long time, with a number of disconnections and re-connections:

This is due to the loss of springy-ness of the crimped metal end on the wire, which causes contact problems.
Which connectors (with rapid connection time) are reliable for multiple re-connections for simple signal wiring?
This excludes screw terminals and connectors with screws (eg. D-subminiature connectors), because they are not simple plug-in connectors.
",wiring
106,What is a suitable model for two-wheeled robots?,"What is a suitable model for two-wheeled robots? That is, what equations of motion describe the dynamics of a two-wheeled robot.
Model of varying fidelity are welcome. This includes non-linear models, as well as linearized models.
",mobile-robot two-wheeled
112,How should emergency stops be wired?,"Emergency stops are obviously a good idea on most robots, how should they be wired?  What systems should be killed immediately, and what should stay working?
",mobile-robot errors
113,How to model the noise in a range sensor's return?,"Range sensors (for example sonar, infrared, and lidar) are notoriously noisy.  How can I characterize the noise characteristics to include these in a probabilistic localization sensor model?
",sensors noise
117,What is the difference between 4-point and 8-point connectivity in graph based planning?,"In graph-based planning (say, A*), states are connected to their neighbors.  How should one decide whether to connect to the 4 neighbors or the 8 neighbors?  What are the pros and cons of each approach?
",motion-planning artificial-intelligence planning
118,Properly flashing the firmware on a Lego Mindstorms NXT,"I am attempting to upload a custom firmware to a Lego Mindstorms NXT and am having issues.
First of all, I'm attempting to use nxtOSEK, which would let me run C++ programs on it.  The problem is, everytime I put it into firmware update mode, the download doesn't seem to actually occur.
What I mean by this is that, according to the output in my terminal (both Mac and Windows), the download was successful, however when the NXT reboots, I still see the normal logo (not nxtOSEK).
So, what I'm doing is first holding down the  button for a few seconds, then hitting the orange button, giving me that tic-tic-tic sound.  Then I run the firmware update (either using the Windows NextTool or Mac OSX GUI NextTool) and attempt the download.  I get a success message, yet the robot is still using the old firmware.
What could be the cause of this problem and how can I solve it?
",mindstorms nxt
119,Is it better to have weight distributed over the wheels or the center of the robot?,"When designing a standard 4 or 6 wheel robot, is it better to have the weight distributed primarily in the center of the robot, or over the wheels, or is there no difference?
Specifically, which weight distribution will make the robot less likely to tip over?
",mobile-robot design stability wheeled-robot
128,How mature is real-time programming in robotics?,"Edit: I don't know why, but this question seems to be confusing many people. I am aware of when/where/why/how to use real-time. I am interested in knowing whether people who have a real-time task would actually care enough to implement it in real-time or not.
There's no need to mention why real-time operations are important for a robot. My question is however, how much is it actually used in robotics?
Take this question for example. Only one answer mentions any platform with real-time capabilities, and it is far from the top too. ROS apparently, being a very popular platform which is not real-time.
In the real-time world however, RTAI1 seems to be the only workable free real-time platform of use. It is however, limited to Linux (no problem), badly documented and slowly developed.
So, how much is real-time behavior sought after among robotics developers? The question is, how much are developers inclined to write real-time applications when real-time behavior is actually needed? If not much, why?
For example, reflexive behavior based on tactile data, cannot go through ROS because it would lose its real-time property. But do people really come up with a real-time solution or use ROS anyway, ignoring the real-time property?
1 or similarly Xenomai
",software platform real-time
131,Connecting two microcontrollers using I2C,"I Have an ATmega16 mc which is master on the i2c and a ATMega8 mc which is slave on the i2c.
I have connected the two mcs' sda and scl ports to each other alongside a pullup resistor.
Now I want to read a register from the ATMega8 using the ATMega16. 
The problem is that I don't want to assign all the variables manually. Is there any libs or headers that will do this thing for me?
",software microcontroller i2c
138,Mathematical prerequisites for beginning graduate student in robotics,"A beginning graduate student in robotics asked me the areas of mathematics that he should brush up on (prerequisites) to begin a masters research program in robotics. What are some good materials/books that are indispensable for a research student? Which ones should we suggest in order that the student develops a solid foundation in robotics?
",research
142,Technology behind Kiva Systems mobile robots,"What kind of sensors and algorithms are the mobile robots of Kiva Systems equipped with? 
",mobile-robot industrial-robot
143,How do I calculate the required loop frequency for a servo controller?,"I have a motor which drives a string connected to a load cell. I would like to implement a closed loop controller to control the load applied by the motor to the string.

How do I go about determining the required loop frequency in order to create a stable control system? Is it something like the Nyquist frequency, where the loop speed should be at least twice the highest frequency inherent in the mechanical system?
",control motor force
146,What rail material is best used for linear bearings?,"For the 3d printer RepRap Prusa there are several rails (smooth rods) that guide the printer head on the different axises. The printer head uses several linear bearings to glide along the rails. 
There isn't any specification on what kind of material would be best suited for this purpose with the linear bearings. My first assumption would be for stainless steel because it won't corrode (rust) on the surface, but I'm not sure if this is true for all printers (whether they are 3D printers or not) as a different material may allow the linear bearings to glide more easily. Aluminum would have been my second choice but I have the same reservations of which grade would be least resistant. 
This resource has some limited information but does not help with which would be best suited for this particular application.
What material is best suited for this purpose?
",reprap 3d-printing linear-bearing
148,Detect Nao robot in Kinect,"I am not sure if this has been tried before but I am trying to use Kinect and detect gestures made by the Nao robot.
I have made a Kinect application, a gesture based picture viewer and it detects humans fine(Obviously it does!) What I wanted to try was (lazy as I am), to see if I could use some (say, voice) command to tell the Nao to do a Swipe Right gesture and have my application identify that gesture. The Nao can easily identify my command and do some gesture. The problem however is, when I put the Nao in front of the Kinect sensor, the Kinect does not track it. 
What I want to know is, are there some basics behind Kinect's human body motion tracking that essentially fails when a robot is placed in front of it instead of a human?
PS: I have kept the Nao at the right distance from the sensor. I have also checked if the entire robot is in the field of view of the sensor.
EDIT: This has been posted on stackoverflow and on msdn by me so as to target a large audience as this problem has not been encountered by anyone in the past.
",kinect
150,Preventing leaks in motor shafts for underwater bots,"Whenever building an aquatic bot, we always have to take care to prevent leakages, for obvious reasons. Now, holes for wires can be made watertight easily--but what about motors? We can easily seal the casing in place (and fill in any holes in the casing), but the part where the axle meets the casing is still left unprotected. 

Water leaking into the motor is still quite bad. I doubt there's any way to seal up this area properly, since any solid seal will not let the axle move, and any liquid seal (or something like grease) will rub off eventually.
I was thinking of putting a second casing around the motor, maybe with a custom rubber orifice for the shaft. Something like (forgive the bad drawing, not used to GIMP):

This would probably stop leakage, but would reduce the torque/rpm significantly via friction.
So, how does one prevent water from leaking into a motor without significantly affecting the motor's performance?
(To clarify, I don't want to buy a special underwater motor, I'd prefer a way to make my own motors watertight)
",motor underwater auv protection
154,Fixed point arithmetic on microcontrollers,"Often we use microcontrollers to do things in our robots, but need to make some calculations in decimal. Using floating point variables is very slow, because a software floating point library is automatically included (unless you have a high-end microcontroller). Therefore, we generally use fixed point arithmetic.
Whenever I do this, I just use an integer, and remember where the decimal place is. However, it does take some care to ensure that everything is consistent, especially when calculations involve variables where the decimal point is in a different place.
I have implemented a fixed point atan2 function, but because I was trying to squeeze every last drop of limited precision (16 bits), I would often change the definition of where the decimal point is, and it would change as I tweaked it. In addition, I would have some constants, as a quasi look-up table, which themselves have an implied decimal point somewhere.
I want to know if there is a better way. Is there a library, or set of macros, that can simplify the use of fixed point variables, making multiplication and division between mixed variables easier, and allowing declaration of decimal numbers or constant expressions, but automatically converting to the desired fixed point representation at compile time?
",microcontroller c
155,How to choose a good IMU for a wheeled robot?,"At our lab, we have a several ""Kurt"" type robots (about the size of a Pioneer, six wheels, differential drive). The built-in gyroscopes are by now really outdated; the main problem is that the gyroscopes have a large drift that increases as the gyro heats up (the error is up to 3/s). We mainly use the IMU to get initial pose estimates that are later corrected by some localization algorithm, but even so the large initial pose error caused by the IMU is often annoying.
We've temporarily used an Android phone (Galaxy S2) as a replacement IMU, and the results are so much better compared to the old IMUs. However, I don't like depending on a WiFi connection between IMU and the control computer (a laptop running ROS/Ubuntu), so we're looking to buy a new IMU.
What IMU should we choose? What criteria are important to consider for our application? Please share your experiences! :-)
",ros imu odometry gyroscope ugv
167,What are good strategies for tuning PID loops?,"Tuning controller gains can be difficult, what general strategies work well to get a stable system that converges to the right solution?
",control pid tuning
172,Absolute positioning without GPS,"Using an IMU a robot can estimate its current position relative to its starting position, but this incurs error over time. GPS is especially useful for providing position information not biased by local error accumulation. But GPS cannot be used indoors, and even outdoors it can be spotty.
So what are some methods or sensors that a robot can use to localize (relative to some frame of reference) without using GPS? 
",localization gps sensors slam
178,HMMs vs. CRFs to model time-series force data of robots interacting with environment?,"I have a time-series of force data of robots interacting with environment objects with various textures. I would like to develop models of various textures using the time-series data to classify textures into smooth, rough, moderate, etc. categories. For this purpose, will Hidden Markov Models be sufficient or should i use Conditional Random Fields? If I decide to classify into more categories and the distinction between each of are categories are very subtle, in that case what would be a good choice? Will force-data be sufficient to capture all the information I need to classify textures into these categories?
Thanks for your replies :)
",artificial-intelligence
182,Suitable control algorithm for Air Muscle based joint?,"I have a joint actuated by an antagonistic pair of Pneumatic Muscles.

There are two valves per muscle, one to fill and one to empty each muscle. The joint has an angle sensor, and each muscle also contain an air pressure sensor.
What is a suitable control algorithm set up?

A PID controller controlling the valve orifice sizes?
A PID controller controlling the mass flow rate?
A PID controller controlling the pressure using two PID pressure controllers?
A Fuzzy Logic controller?
A Neural Network?

",control pid air-muscle
184,Robotics Trends,"Robotics has always been one of those engineering fields which has promised so much, but is taking a long time to deliver all the things that people imagine.
When someone asks: ""How long before we have [X] type of robots?"" Are there any resources we can call upon to try to calculate a rough answer. These resources might include:

Rate of progress of computational power, and some estimate of how much will be needed for various types of AI.
Rate of progress of electrical energy storage density, and some estimate of how much will be needed for various types of robot.
Rate of progress of actuation systems, and some estimate of what would be needed for various types of robot.
Lists of milestones towards various types of robot, and which ones have been achieved and when.

Are these types of studies performed, and are the results published?

Added:
In response to Jakob's comment, I am not looking for opinions or discussions on this subject. What I am looking for are published studies which might shed light on this question.
",research
205,"Creating a fast, uniform, linear actuator","Most of the linear actuators I've seen are nonuniform and/or slow. Those using a cam or crankshaft-like mechanism (and nearly anything hydraulic/pneumatic) cannot be moved at a constant speed without some programming. Those using a screw-like mechanism are uniform, but slow. 
Aside from a rack and pinion/rope wound around a stick, what other fast, uniform linear actuators exist? By uniform, I mean that the speed is uniform (Or the distance moved is linearly dependant on the angle rotated by the motor)
",actuator
209,How to determine quality of ICP matches?,"In SLAM frontends which use the Iterative Closest Point (ICP) algorithm for identifying the association between two matching point clouds, how can you determine if the algorithm is stuck in a local minimum and returns a wrong result? 
The problem is defined as matching two pointclouds which are both samples of some arbitrary surface structure, and the sampled areas have an overlap of 0-100% which is unknown. I know the Trimmed ICP variant works by iteratively trying to determine the overlap, but even this one can be stuck in a local minimum. 
A naive approach would be to look a the mean square error of the identified point pairs. But without some estimate of the sampling this seems a risky thresholding. In the manual for the Leica Cyclone they suggest manual inspection of the pair error histogram. If it has a Gaussian shape the fit is good. If there is a linear fall-off the match is probably bad. This seems plausible for me, but I've never seen it used in an algorithm.
",slam
210,How can I automatically adjust PID parameters on the fly?,"I have a simple servo system that uses a PID controller implemented in an MCU to perform the feedback. However, the properties of the system change dynamically, and so the PID parameters can never be tuned for all circumstances.
My robot is a light weight arm with back-drivable electric motors, similar to this one:

The arm performs several tasks, including picking up heavy weights, pushing and pulling objects across the desk. Each of these tasks requires different PID tuning parameters which I cannot easily predict.
What I would really like is for some higher level function which can carefully adjust the parameters in response to the arm's behaviour. For example, if it notices that the arm is oscillating, it might reduce P and increase D. Or if it noticed that the arm wasn't reaching its target, it might increase I.
Do such algorithms exist? I would be happy even if the algorithm didn't perfect the parameters immediately. E.G. the arm could oscillate a few times before the parameters were adjusted to their new values. 
",control pid automatic tuning
213,How can I integrate a smart phone with my robotics project?,"Smart phones these days typically come with a gyroscope, accelerometer, compass, camera, and GPS sensor all on board. They also usually have a connection to the internet with Wifi and mobile data networks. I've seen many cases of using a phone as a remote control for a robot, but to me, it seems like the phone itself is a perfect lightweight computing and sensing platform for an autonomous robot.
The main obstacle I see is interfacing with actuators. Being able to control motors to steer even a table-top robot, or control servos, for example. Connecting and communicating to a microcontroller could be an obstacle as well. 
As a robot hobbyist, I'd like to know how I can overcome these and other obstacles to be able to harness the power of my smart phone with my robotics projects.
",actuator
215,Starting out advice on making robots and tinkering with microcontrollers,"I'd like to start making robots and tinkering with microcontrollers. Where do I start, and what do I need?
I'd like to make my own robots. I'm comfortable with programming (assembly and C) so I've got that part covered, but my electronics/circuits knowledge is a little weak. I have no idea what material to start with and which tools I need, nor how to put stuff together.
For the microcontroller, I'm thinking about going with the Pololu Orangutan LV-168 or the Arduino Duemilanove, although I'm leaning more towards the Orangutan because of the built-in LCD and pushbuttons (which I would expect to use, especially for debugging and user interaction). Am I on the right track? It seems to me like the number of I/O ports is small, but is that the case in practice?
",arduino microcontroller beginner
